station id,station name,latitude,longitude,zipcode,burrough,city,county,state
3118,McGuinness Blvd & Eagle St,40.73555,-73.95284000000001,11222,Brooklyn,,Kings County,New York
3771,McKibbin St & Bogart St,40.706237,-73.933871,11206,Brooklyn,,Kings County,New York
3070,McKibbin St & Manhattan Ave,40.70510918,-73.94407279,11206,Brooklyn,,Kings County,New York
3870,Melrose St & Broadway,40.697480999999996,-73.935877,11206,Brooklyn,,Kings County,New York
3841,Menahan St & Central Ave,40.69543,-73.9196,11221,Brooklyn,,Kings County,New York
3886,Menahan St & Onderdonk Ave,40.705529999999996,-73.9096,11385,Queens,,Queens County,New York
3874,Menahan St & Seneca Ave,40.704609999999995,-73.91054,11385,Queens,,Queens County,New York
3861,Menahan St & Wyckoff Ave,40.70113,-73.91422,11237,Brooklyn,,Kings County,New York
3260,Mercer St & Bleecker St,40.72706363,-73.99662137,10012,Manhattan,New York,New York County,New York
303,Mercer St & Spring St,40.72362738,-73.99949601,10012,Manhattan,New York,New York County,New York
3110,Meserole Ave & Manhattan Ave,40.72708584,-73.95299117,11222,Brooklyn,,Kings County,New York
539,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,11211,Brooklyn,,Kings County,New York
3087,Metropolitan Ave & Meeker Ave,40.71413311,-73.95234386,11211,Brooklyn,,Kings County,New York
3851,Metropolitan Ave & Stewart Ave,40.714009999999995,-73.92793,11237,Brooklyn,,Kings County,New York
3816,Metropolitan Ave & Vandervoort Ave,40.714290000000005,-73.93323000000001,11211,Brooklyn,,Kings County,New York
3112,Milton St & Franklin St,40.72906,-73.95779,11222,Brooklyn,,Kings County,New York
3826,Moffat St & Bushwick,40.68458,-73.90925,11207,Brooklyn,,Kings County,New York
344,Monroe St & Bedford Ave,40.6851443,-73.95380904,11216,Brooklyn,,Kings County,New York
289,Monroe St & Classon Ave,40.684568299999995,-73.95881081,11238,Brooklyn,,Kings County,New York
3241,Monroe St & Tompkins Ave,40.686203000000006,-73.944694,11216,Brooklyn,,Kings County,New York
3246,Montague St & Clinton St,40.69428114,-73.99230033,11201,Brooklyn,,Kings County,New York
3661,Montgomery St & Franklin Ave,40.66643931,-73.96055639,11225,Brooklyn,,Kings County,New York
3074,Montrose Ave & Bushwick Ave,40.70767788,-73.94016171,11206,Brooklyn,,Kings County,New York
3900,Morgan Ave & Lombardy St,40.72226,-73.93889,11222,Brooklyn,,Kings County,New York
3854,Morgan Ave & Maspeth Ave,40.716657,-73.93637,11211,Brooklyn,,Kings County,New York
3540,Morningside Ave & W 123 St,40.81,-73.9551508,10027,Manhattan,New York,New York County,New York
3543,Morningside Dr & Amsterdam Ave,40.81028506,-73.95736456,10027,Manhattan,New York,New York County,New York
251,Mott St & Prince St,40.72317958,-73.99480012,10012,Manhattan,New York,New York County,New York
3535,Mt Morris Park W & W 120 St,40.804038,-73.945925,10035,Manhattan,New York,New York County,New York
3912,MTL-AOS-5.1,40.7903,-73.9597,10029,Manhattan,New York,New York County,New York
3461,Murray St & Greenwich St,40.71485151,-74.01122332,10007,Manhattan,New York,New York County,New York
309,Murray St & West St,40.7149787,-74.013012,10007,Manhattan,New York,New York County,New York
3843,Myrtle Ave & Grove St,40.69905,-73.91516,11237,Brooklyn,,Kings County,New York
3064,Myrtle Ave & Lewis Ave,40.69681963,-73.93756926,11206,Brooklyn,,Kings County,New York
3844,Myrtle Ave & Linden St,40.69943,-73.91337,11237,Brooklyn,,Kings County,New York
3062,Myrtle Ave & Marcy Ave,40.69539817,-73.94954908,11206,Brooklyn,,Kings County,New York
245,Myrtle Ave & St Edwards St,40.69327018,-73.97703874,11205,Brooklyn,,Kings County,New York
3693,N 11 St & Kent Ave,40.72248189,-73.95921931,11249,Brooklyn,,Kings County,New York
3101,N 12 St & Bedford Ave,40.72079821,-73.95484712,11249,Brooklyn,,Kings County,New York
3105,N 15 St & Wythe Ave,40.724055,-73.955736,11249,Brooklyn,,Kings County,New York
3093,N 6 St & Bedford Ave,40.71745169,-73.95850939,11249,Brooklyn,,Kings County,New York
3100,Nassau Ave & Newell St,40.72481256,-73.94752622,11222,Brooklyn,,Kings County,New York
3108,Nassau Ave & Russell St,40.725570000000005,-73.94434,11222,Brooklyn,,Kings County,New York
144,Nassau St & Navy St,40.69839895,-73.98068914,11201,Brooklyn,,Kings County,New York
3598,Newton Rd & 44 St,40.7595701,-73.91426779999999,11103,Queens,,Queens County,New York
3619,Newtown Ave & 23 St,40.7713615,-73.9246145,11102,Queens,,Queens County,New York
311,Norfolk St & Broome St,40.7172274,-73.98802084,10002,Manhattan,New York,New York County,New York
3882,Norman St & Wyckoff Ave,40.695170000000005,-73.90311,11385,Queens,,Queens County,New York
3664,North Moore St & Greenwich St,40.72019521,-74.01030064,10013,Manhattan,New York,New York County,New York
3063,Nostrand Ave & Myrtle Ave,40.69527008,-73.95238108,11205,Brooklyn,,Kings County,New York
